s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.5239479E-001, 0.0000000E+000, 4.4312397E-002, 1.5391681E-001, 5.3404134E-002, 0.0000000E+000, 0.0000000E+000,-2.7818166E+000,-2.5536181E+000,-2.5301833E+000, 0.0000000E+000, 3.5378164E-003
 3.5288984E-001, 0.0000000E+000, 4.4564009E-002, 1.5415129E-001, 4.8873629E-002, 0.0000000E+000, 0.0000000E+000,-2.7875979E+000,-2.5556515E+000,-2.5400090E+000, 0.0000000E+000, 3.5587315E-003
 3.5338491E-001, 0.0000000E+000, 4.4700754E-002, 1.5467494E-001, 5.0963413E-002, 0.0000000E+000, 0.0000000E+000,-2.7922290E+000,-2.5638665E+000,-2.5418899E+000, 0.0000000E+000, 3.5880448E-003
 3.5387999E-001, 0.0000000E+000, 4.4536860E-002, 1.5515390E-001, 4.9950677E-002, 0.0000000E+000, 0.0000000E+000,-2.7982366E+000,-2.5652461E+000,-2.5485952E+000, 0.0000000E+000, 3.6070706E-003
 3.5437503E-001, 0.0000000E+000, 4.4642226E-002, 1.5562520E-001, 5.2378600E-002, 0.0000000E+000, 0.0000000E+000,-2.7994039E+000,-2.5721966E+000,-2.5467578E+000, 0.0000000E+000, 3.5471495E-003
 3.5487011E-001, 0.0000000E+000, 4.4771558E-002, 1.5576841E-001, 4.8745476E-002, 0.0000000E+000, 0.0000000E+000,-2.8035917E+000,-2.5722370E+000,-2.5543063E+000, 0.0000000E+000, 3.5238970E-003
 3.5536516E-001, 0.0000000E+000, 4.5189040E-002, 1.5628415E-001, 5.0017064E-002, 0.0000000E+000, 0.0000000E+000,-2.8087982E+000,-2.5777941E+000,-2.5573080E+000, 0.0000000E+000, 3.5790411E-003
 3.5586023E-001, 0.0000000E+000, 4.4232209E-002, 1.5691443E-001, 5.3652228E-002, 0.0000000E+000, 0.0000000E+000,-2.8086834E+000,-2.5803876E+000,-2.5538845E+000, 0.0000000E+000, 3.5634006E-003
 3.5635531E-001, 0.0000000E+000, 4.4964006E-002, 1.5722375E-001, 4.9612889E-002, 0.0000000E+000, 0.0000000E+000,-2.8135855E+000,-2.5799553E+000,-2.5617849E+000, 0.0000000E+000, 3.5214161E-003
 3.5685036E-001, 0.0000000E+000, 4.5288730E-002, 1.5752102E-001, 5.2247346E-002, 0.0000000E+000, 0.0000000E+000,-2.8174314E+000,-2.5869161E+000,-2.5623743E+000, 0.0000000E+000, 3.4812360E-003
