s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.5091474E+000, 0.0000000E+000, 2.5556044E-001,-3.9251841E-002, 3.2739542E-004, 0.0000000E+000, 0.0000000E+000,-4.2710906E-001,-2.1284965E-001,-2.1047306E-001, 0.0000000E+000, 3.1731253E-003
 3.5181506E+000, 0.0000000E+000, 2.5906299E-001,-3.9129715E-002, 3.2335189E-004, 0.0000000E+000, 0.0000000E+000,-4.3151890E-001,-2.1472194E-001,-2.1126228E-001, 0.0000000E+000, 3.1878193E-003
 3.5271535E+000, 0.0000000E+000, 2.5233796E-001,-3.9544782E-002, 3.2521734E-004, 0.0000000E+000, 0.0000000E+000,-4.2452035E-001,-2.1551446E-001,-2.1140195E-001, 0.0000000E+000, 3.3161743E-003
 3.5361567E+000, 0.0000000E+000, 2.6336449E-001,-3.9153212E-002, 3.2513720E-004, 0.0000000E+000, 0.0000000E+000,-4.3654643E-001,-2.1571533E-001,-2.1201002E-001, 0.0000000E+000, 3.2567499E-003
 3.5451596E+000, 0.0000000E+000, 2.6278882E-001,-3.8628567E-002, 3.3042578E-004, 0.0000000E+000, 0.0000000E+000,-4.3448922E-001,-2.1631176E-001,-2.0999854E-001, 0.0000000E+000, 3.2377804E-003
 3.5541625E+000, 0.0000000E+000, 2.5805478E-001,-3.8865955E-002, 3.3003534E-004, 0.0000000E+000, 0.0000000E+000,-4.2978310E-001,-2.1434568E-001,-2.1026424E-001, 0.0000000E+000, 3.1462327E-003
 3.5631657E+000, 0.0000000E+000, 2.5222163E-001,-3.9178255E-002, 3.3259579E-004, 0.0000000E+000, 0.0000000E+000,-4.2494197E-001,-2.1455472E-001,-2.1156600E-001, 0.0000000E+000, 3.2820194E-003
 3.5721686E+000, 0.0000000E+000, 2.6423906E-001,-3.8759145E-002, 3.3975189E-004, 0.0000000E+000, 0.0000000E+000,-4.3636831E-001,-2.1597034E-001,-2.1054864E-001, 0.0000000E+000, 3.2011445E-003
 3.5811715E+000, 0.0000000E+000, 2.6457975E-001,-3.8990686E-002, 3.4321907E-004, 0.0000000E+000, 0.0000000E+000,-4.3629725E-001,-2.1491077E-001,-2.1036497E-001, 0.0000000E+000, 3.2017356E-003
 3.5901747E+000, 0.0000000E+000, 2.5799483E-001,-3.7941398E-002, 3.4785183E-004, 0.0000000E+000, 0.0000000E+000,-4.3037570E-001,-2.1479028E-001,-2.0997442E-001, 0.0000000E+000, 3.2441179E-003
 3.5991776E+000, 0.0000000E+000, 2.5838018E-001,-3.7436473E-002, 3.4286703E-004, 0.0000000E+000, 0.0000000E+000,-4.3099642E-001,-2.1439140E-001,-2.0970984E-001, 0.0000000E+000, 3.1689791E-003
 3.6081805E+000, 0.0000000E+000, 2.6491352E-001,-3.7481036E-002, 3.4098594E-004, 0.0000000E+000, 0.0000000E+000,-4.3719814E-001,-2.1414316E-001,-2.0942467E-001, 0.0000000E+000, 3.2090191E-003
 3.6171837E+000, 0.0000000E+000, 2.5877836E-001,-3.6948497E-002, 3.4668776E-004, 0.0000000E+000, 0.0000000E+000,-4.3140758E-001,-2.1385648E-001,-2.0923103E-001, 0.0000000E+000, 3.0164028E-003
 3.6261866E+000, 0.0000000E+000, 2.5788939E-001,-3.6653170E-002, 3.4370198E-004, 0.0000000E+000, 0.0000000E+000,-4.3008847E-001,-2.1364326E-001,-2.0850855E-001, 0.0000000E+000, 2.9581963E-003
 3.6351895E+000, 0.0000000E+000, 2.6270110E-001,-3.6469482E-002, 3.4743008E-004, 0.0000000E+000, 0.0000000E+000,-4.3578458E-001,-2.1295044E-001,-2.0920553E-001, 0.0000000E+000, 2.9884988E-003
 3.6441927E+000, 0.0000000E+000, 2.6315266E-001,-3.6929139E-002, 3.4472694E-004, 0.0000000E+000, 0.0000000E+000,-4.3586234E-001,-2.1362720E-001,-2.0929409E-001, 0.0000000E+000, 3.2268113E-003
 3.6531956E+000, 0.0000000E+000, 2.7010204E-001,-3.6359122E-002, 3.4298578E-004, 0.0000000E+000, 0.0000000E+000,-4.3977526E-001,-2.1378310E-001,-2.0568936E-001, 0.0000000E+000, 3.0053417E-003
 3.6621988E+000, 0.0000000E+000, 2.6751889E-001,-3.6938726E-002, 3.4396029E-004, 0.0000000E+000, 0.0000000E+000,-4.3731186E-001,-2.1014460E-001,-2.0638774E-001, 0.0000000E+000, 3.1654751E-003
 3.6712017E+000, 0.0000000E+000, 2.6026570E-001,-3.8110344E-002, 3.4337022E-004, 0.0000000E+000, 0.0000000E+000,-4.3038965E-001,-2.1090353E-001,-2.0789093E-001, 0.0000000E+000, 3.1051235E-003
 3.6802046E+000, 0.0000000E+000, 2.6546180E-001,-3.8783488E-002, 3.5038401E-004, 0.0000000E+000, 0.0000000E+000,-4.3575488E-001,-2.1233776E-001,-2.0872618E-001, 0.0000000E+000, 3.0980818E-003
 3.6892078E+000, 0.0000000E+000, 2.7019500E-001,-3.8843329E-002, 3.5422236E-004, 0.0000000E+000, 0.0000000E+000,-4.4096541E-001,-2.1319461E-001,-2.0925951E-001, 0.0000000E+000, 3.0418953E-003
 3.6982107E+000, 0.0000000E+000, 2.6890605E-001,-3.8973085E-002, 3.5434071E-004, 0.0000000E+000, 0.0000000E+000,-4.4009338E-001,-2.1372898E-001,-2.0980607E-001, 0.0000000E+000, 3.1359554E-003
 3.7072136E+000, 0.0000000E+000, 2.7160986E-001,-3.8957431E-002, 3.5213372E-004, 0.0000000E+000, 0.0000000E+000,-4.3852725E-001,-2.1432400E-001,-2.0552269E-001, 0.0000000E+000, 3.0329189E-003
 3.7162168E+000, 0.0000000E+000, 2.7684198E-001,-3.8534081E-002, 3.5497668E-004, 0.0000000E+000, 0.0000000E+000,-4.4512643E-001,-2.0999376E-001,-2.0646356E-001, 0.0000000E+000, 3.0431019E-003
 3.7252197E+000, 0.0000000E+000, 2.6884572E-001,-3.8652004E-002, 3.5579670E-004, 0.0000000E+000, 0.0000000E+000,-4.3741947E-001,-2.1097842E-001,-2.0686995E-001, 0.0000000E+000, 3.0733163E-003
 3.7342227E+000, 0.0000000E+000, 2.7032801E-001,-3.7532175E-002, 3.5846663E-004, 0.0000000E+000, 0.0000000E+000,-4.4012032E-001,-2.1141566E-001,-2.0696602E-001, 0.0000000E+000, 3.0843410E-003
 3.7432258E+000, 0.0000000E+000, 2.6962298E-001,-3.8041560E-002, 3.5195000E-004, 0.0000000E+000, 0.0000000E+000,-4.4028801E-001,-2.1155818E-001,-2.0835464E-001, 0.0000000E+000, 3.0546380E-003
 3.7522287E+000, 0.0000000E+000, 2.6280008E-001,-3.7685653E-002, 3.5373994E-004, 0.0000000E+000, 0.0000000E+000,-4.3358877E-001,-2.1294017E-001,-2.0812060E-001, 0.0000000E+000, 3.0103578E-003
 3.7612319E+000, 0.0000000E+000, 2.7083454E-001,-3.7217529E-002, 3.5927939E-004, 0.0000000E+000, 0.0000000E+000,-4.4149248E-001,-2.1270625E-001,-2.0751618E-001, 0.0000000E+000, 2.9914957E-003
 3.7702348E+000, 0.0000000E+000, 2.6430498E-001,-3.6730835E-002, 3.6170886E-004, 0.0000000E+000, 0.0000000E+000,-4.3599019E-001,-2.1208969E-001,-2.0805434E-001, 0.0000000E+000, 3.0178464E-003
 3.7792377E+000, 0.0000000E+000, 2.6438770E-001,-3.7759964E-002, 3.6361592E-004, 0.0000000E+000, 0.0000000E+000,-4.3702630E-001,-2.1261931E-001,-2.1003495E-001, 0.0000000E+000, 3.0474924E-003
 3.7882409E+000, 0.0000000E+000, 2.6958754E-001,-3.7720616E-002, 3.6258621E-004, 0.0000000E+000, 0.0000000E+000,-4.4260063E-001,-2.1462232E-001,-2.1037112E-001, 0.0000000E+000, 2.9444888E-003
 3.7972438E+000, 0.0000000E+000, 2.7264993E-001,-3.7573883E-002, 3.6403531E-004, 0.0000000E+000, 0.0000000E+000,-4.4354876E-001,-2.1492323E-001,-2.0810868E-001, 0.0000000E+000, 2.9032917E-003
 3.8062468E+000, 0.0000000E+000, 2.7122582E-001,-3.7293214E-002, 3.6703046E-004, 0.0000000E+000, 0.0000000E+000,-4.4206880E-001,-2.1265782E-001,-2.0776916E-001, 0.0000000E+000, 3.0774243E-003
 3.8152499E+000, 0.0000000E+000, 2.7337712E-001,-3.6480202E-002, 3.6464046E-004, 0.0000000E+000, 0.0000000E+000,-4.4398694E-001,-2.1241057E-001,-2.0672539E-001, 0.0000000E+000, 2.9134497E-003
 3.8242528E+000, 0.0000000E+000, 2.7534915E-001,-3.7036044E-002, 3.6372713E-004, 0.0000000E+000, 0.0000000E+000,-4.4677283E-001,-2.1133255E-001,-2.0809600E-001, 0.0000000E+000, 2.9853707E-003
 3.8332558E+000, 0.0000000E+000, 2.7119839E-001,-3.7174319E-002, 3.6920816E-004, 0.0000000E+000, 0.0000000E+000,-4.4337139E-001,-2.1275379E-001,-2.0897811E-001, 0.0000000E+000, 3.1064988E-003
 3.8422589E+000, 0.0000000E+000, 2.6967926E-001,-3.7282975E-002, 3.6684204E-004, 0.0000000E+000, 0.0000000E+000,-4.4272379E-001,-2.1365790E-001,-2.0996066E-001, 0.0000000E+000, 3.1196612E-003
 3.8512619E+000, 0.0000000E+000, 2.7208545E-001,-3.6908883E-002, 3.6859347E-004, 0.0000000E+000, 0.0000000E+000,-4.4628939E-001,-2.1460570E-001,-2.1074423E-001, 0.0000000E+000, 3.0343766E-003
 3.8602650E+000, 0.0000000E+000, 2.7302126E-001,-3.6588341E-002, 3.7207301E-004, 0.0000000E+000, 0.0000000E+000,-4.4844658E-001,-2.1536711E-001,-2.1164158E-001, 0.0000000E+000, 2.9455862E-003
 3.8692679E+000, 0.0000000E+000, 2.6997148E-001,-3.5932748E-002, 3.7527867E-004, 0.0000000E+000, 0.0000000E+000,-4.4633547E-001,-2.1629535E-001,-2.1192147E-001, 0.0000000E+000, 2.9513141E-003
 3.8782709E+000, 0.0000000E+000, 2.7208497E-001,-3.6409347E-002, 3.8010093E-004, 0.0000000E+000, 0.0000000E+000,-4.4815979E-001,-2.1670365E-001,-2.1210407E-001, 0.0000000E+000, 3.1626833E-003
 3.8872740E+000, 0.0000000E+000, 2.7246668E-001,-3.6022731E-002, 3.8080561E-004, 0.0000000E+000, 0.0000000E+000,-4.4694228E-001,-2.1699841E-001,-2.1011752E-001, 0.0000000E+000, 3.2056974E-003
 3.8962770E+000, 0.0000000E+000, 2.6954520E-001,-3.5784455E-002, 3.8558175E-004, 0.0000000E+000, 0.0000000E+000,-4.4551385E-001,-2.1507388E-001,-2.1136753E-001, 0.0000000E+000, 3.1111908E-003
 3.9052799E+000, 0.0000000E+000, 2.7450841E-001,-3.5522929E-002, 3.8941844E-004, 0.0000000E+000, 0.0000000E+000,-4.4993239E-001,-2.1617321E-001,-2.1055750E-001, 0.0000000E+000, 3.0374690E-003
 3.9142830E+000, 0.0000000E+000, 2.6695265E-001,-3.6202343E-002, 3.8941974E-004, 0.0000000E+000, 0.0000000E+000,-4.4202866E-001,-2.1538390E-001,-2.1088893E-001, 0.0000000E+000, 3.1461520E-003
 3.9232860E+000, 0.0000000E+000, 2.7086314E-001,-3.5715854E-002, 3.8661470E-004, 0.0000000E+000, 0.0000000E+000,-4.4423107E-001,-2.1583990E-001,-2.0869717E-001, 0.0000000E+000, 3.0003967E-003
 3.9322889E+000, 0.0000000E+000, 2.7194160E-001,-3.5810338E-002, 3.8996799E-004, 0.0000000E+000, 0.0000000E+000,-4.4612020E-001,-2.1353212E-001,-2.0959897E-001, 0.0000000E+000, 3.1231178E-003
 3.9412920E+000, 0.0000000E+000, 2.5542469E-001,-3.5448412E-002, 3.9219906E-004, 0.0000000E+000, 0.0000000E+000,-4.2996321E-001,-2.1454721E-001,-2.0959473E-001, 0.0000000E+000, 2.9092476E-003
 3.9502950E+000, 0.0000000E+000, 2.7134030E-001,-3.4708662E-002, 3.8902620E-004, 0.0000000E+000, 0.0000000E+000,-4.4466739E-001,-2.1445712E-001,-2.0764672E-001, 0.0000000E+000, 2.8357257E-003
 3.9592979E+000, 0.0000000E+000, 2.7859478E-001,-3.4827284E-002, 3.8972800E-004, 0.0000000E+000, 0.0000000E+000,-4.5157962E-001,-2.1247113E-001,-2.0742240E-001, 0.0000000E+000, 3.1251144E-003
 3.9683011E+000, 0.0000000E+000, 2.7099904E-001,-3.5374099E-002, 3.8976425E-004, 0.0000000E+000, 0.0000000E+000,-4.4362383E-001,-2.1240648E-001,-2.0760913E-001, 0.0000000E+000, 3.1406046E-003
 3.9773040E+000, 0.0000000E+000, 2.7477457E-001,-3.5292011E-002, 3.8899880E-004, 0.0000000E+000, 0.0000000E+000,-4.4896872E-001,-2.1256657E-001,-2.0909716E-001, 0.0000000E+000, 3.0188475E-003
 3.9863071E+000, 0.0000000E+000, 2.7218096E-001,-3.5820444E-002, 3.8984768E-004, 0.0000000E+000, 0.0000000E+000,-4.4801837E-001,-2.1412247E-001,-2.1126801E-001, 0.0000000E+000, 3.0563468E-003
 3.9953101E+000, 0.0000000E+000, 2.7501149E-001,-3.5256375E-002, 3.8921193E-004, 0.0000000E+000, 0.0000000E+000,-4.4893734E-001,-2.1621990E-001,-2.0879301E-001, 0.0000000E+000, 3.0926642E-003
 4.0043130E+000, 0.0000000E+000, 2.7182571E-001,-3.5764112E-002, 3.9264066E-004, 0.0000000E+000, 0.0000000E+000,-4.4528691E-001,-2.1373616E-001,-2.0883267E-001, 0.0000000E+000, 2.9926549E-003
 4.0133162E+000, 0.0000000E+000, 2.7055040E-001,-3.6123987E-002, 3.9302202E-004, 0.0000000E+000, 0.0000000E+000,-4.4300107E-001,-2.1376891E-001,-2.0818164E-001, 0.0000000E+000, 3.0780681E-003
 4.0223188E+000, 0.0000000E+000, 2.7018656E-001,-3.7236733E-002, 3.9423350E-004, 0.0000000E+000, 0.0000000E+000,-4.4301490E-001,-2.1311600E-001,-2.0967084E-001, 0.0000000E+000, 3.2126056E-003
 4.0313220E+000, 0.0000000E+000, 2.8214690E-001,-3.7197076E-002, 3.9743287E-004, 0.0000000E+000, 0.0000000E+000,-4.5586254E-001,-2.1469729E-001,-2.1051528E-001, 0.0000000E+000, 3.1354686E-003
 4.0403252E+000, 0.0000000E+000, 2.7608813E-001,-3.6516668E-002, 3.9722486E-004, 0.0000000E+000, 0.0000000E+000,-4.5172770E-001,-2.1552386E-001,-2.1175902E-001, 0.0000000E+000, 2.9663757E-003
 4.0493283E+000, 0.0000000E+000, 2.7179926E-001,-3.6013601E-002, 3.9895907E-004, 0.0000000E+000, 0.0000000E+000,-4.4679319E-001,-2.1675120E-001,-2.1060857E-001, 0.0000000E+000, 3.0142146E-003
 4.0583310E+000, 0.0000000E+000, 2.7636080E-001,-3.5739503E-002, 3.9848465E-004, 0.0000000E+000, 0.0000000E+000,-4.5101693E-001,-2.1564437E-001,-2.0999714E-001, 0.0000000E+000, 2.9931026E-003
 4.0673342E+000, 0.0000000E+000, 2.7451309E-001,-3.5010067E-002, 4.0221774E-004, 0.0000000E+000, 0.0000000E+000,-4.4743481E-001,-2.1505472E-001,-2.0752957E-001, 0.0000000E+000, 2.8893120E-003
 4.0763373E+000, 0.0000000E+000, 2.7448966E-001,-3.5158122E-002, 4.0512068E-004, 0.0000000E+000, 0.0000000E+000,-4.4511885E-001,-2.1259078E-001,-2.0538219E-001, 0.0000000E+000, 3.0474844E-003
 4.0853400E+000, 0.0000000E+000, 2.7181157E-001,-3.5558994E-002, 4.0276524E-004, 0.0000000E+000, 0.0000000E+000,-4.4195913E-001,-2.1044451E-001,-2.0530378E-001, 0.0000000E+000, 3.0784844E-003
 4.0943432E+000, 0.0000000E+000, 2.8202905E-001,-3.5297198E-002, 4.0655190E-004, 0.0000000E+000, 0.0000000E+000,-4.5350505E-001,-2.1043553E-001,-2.0636664E-001, 0.0000000E+000, 3.0002891E-003
 4.1033463E+000, 0.0000000E+000, 2.7107805E-001,-3.5606150E-002, 4.0914988E-004, 0.0000000E+000, 0.0000000E+000,-4.4110305E-001,-2.1148796E-001,-2.0522200E-001, 0.0000000E+000, 3.0998655E-003
 4.1123490E+000, 0.0000000E+000, 2.7849970E-001,-3.5553395E-002, 4.1122050E-004, 0.0000000E+000, 0.0000000E+000,-4.4873012E-001,-2.1038586E-001,-2.0537259E-001, 0.0000000E+000, 3.0508263E-003
